subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest
62713a003caa3feec5c6a0ba,0,9,bad,11608,5,21,41,"[0, 1120, 2008, 2857, 0]"
62713a003caa3feec5c6a0ba,0,10,good,1440,2,3,9,"[0, 0]"
62713a003caa3feec5c6a0ba,0,11,good,13496,7,13,61,"[0, 392, 760, 1272, 1512, 1992, 0]"
62713a003caa3feec5c6a0ba,0,12,bad,6937,4,16,29,"[0, 920, 2008, 0]"
62713a003caa3feec5c6a0ba,0,13,bad,7088,4,16,30,"[0, 984, 1944, 0]"
62713a003caa3feec5c6a0ba,0,14,bad,12272,5,21,40,"[0, 920, 2056, 3143, 728]"
62713a003caa3feec5c6a0ba,0,15,good,10864,6,11,47,"[0, 368, 744, 1119, 1544, 176]"
62713a003caa3feec5c6a0ba,0,16,bad,11072,4,16,29,"[0, 824, 1937, 4568]"
62713a003caa3feec5c6a0ba,0,17,good,14504,7,13,62,"[0, 384, 776, 1176, 1536, 1927, 0]"
62713a003caa3feec5c6a0ba,0,18,good,7896,5,9,40,"[0, 399, 840, 1152, 0]"
62713a003caa3feec5c6a0ba,0,19,bad,6192,4,16,29,"[0, 881, 1760, 152]"
62713a003caa3feec5c6a0ba,0,20,bad,2784,2,6,10,"[0, 1056]"
62713a003caa3feec5c6a0ba,0,21,bad,3584,3,11,18,"[0, 1025, 281]"
62713a003caa3feec5c6a0ba,0,22,bad,8624,3,11,20,"[0, 832, 4920]"
62713a003caa3feec5c6a0ba,0,23,good,10208,6,11,50,"[0, 392, 792, 1089, 1559, 0]"
62713a003caa3feec5c6a0ba,0,24,good,13040,5,9,40,"[0, 392, 793, 1231, 4936]"
62713a003caa3feec5c6a0ba,0,25,bad,15464,6,26,52,"[0, 1024, 2079, 2417, 3407, 0]"
62713a003caa3feec5c6a0ba,0,26,bad,4201,3,11,22,"[0, 1208, 0]"
62713a003caa3feec5c6a0ba,0,27,good,10687,6,11,50,"[0, 479, 801, 1192, 1616, 0]"
62713a003caa3feec5c6a0ba,0,28,bad,7008,4,16,31,"[0, 952, 2200, 297]"
62713a003caa3feec5c6a0ba,0,29,good,7720,5,9,41,"[0, 376, 768, 1176, 0]"
62713a003caa3feec5c6a0ba,0,30,good,7360,5,9,39,"[0, 376, 808, 1241, 0]"
62713a003caa3feec5c6a0ba,0,31,bad,7160,4,16,33,"[0, 1360, 1960, 0]"
62713a003caa3feec5c6a0ba,0,32,good,36872,12,23,112,"[0, 391, 792, 1224, 1679, 2066, 2641, 3024, 3416, 3937, 4233, 0]"
62713a003caa3feec5c6a0ba,0,33,good,27145,10,19,94,"[0, 400, 848, 1312, 1672, 2152, 2512, 2968, 3216, 608]"
62713a003caa3feec5c6a0ba,0,34,good,1168,2,3,9,"[0, 0]"
62713a003caa3feec5c6a0ba,0,35,good,10993,6,11,49,"[0, 406, 800, 1256, 1735, 0]"
62713a003caa3feec5c6a0ba,0,36,good,11544,6,11,53,"[0, 400, 840, 1256, 1664, 1336]"
62713a003caa3feec5c6a0ba,0,37,good,15056,6,11,49,"[0, 415, 816, 1264, 1720, 4793]"
62713a003caa3feec5c6a0ba,0,38,bad,11893,4,16,32,"[0, 1104, 2039, 5008]"
62713a003caa3feec5c6a0ba,0,39,bad,7048,4,16,31,"[0, 1081, 2103, 0]"
62713a003caa3feec5c6a0ba,0,40,bad,3544,3,11,18,"[0, 1000, 0]"
62713a003caa3feec5c6a0ba,0,41,bad,1919,2,6,9,"[0, 655]"
